Great Fissure  (465,13018)  (415,13044)  (415,12994)  (515,12984)  (515,13034)  | overflowToLeft=false
Bogpaddle  (5044,10563)  (4994,10581)  (5040,10513)  (5094,10524)  (5094,10574)  | overflowToLeft=false
Dustwind Dig  (4676,8930)  (4626,8931)  (4726,8927)  | overflowToLeft=false
Crusader Outpost  (3123,4171)  (3172,4221)  (3122,4221)  (3093,4121)  (3143,4121)  | overflowToLeft=false
Alterac Valley Mountains  (3524,5163)  (3512,5213)  | overflowToLeft=false
Boralus  (1325,8630)  (1397,8679)  (1397,8623)  (1492,8677)  (1376,8549)  (1445,8551)  (1554,8642)  (1500,8601)  (1499,8534)  (1456,8475)  (1522,8468)  | overflowToLeft=false
Anglepoint Packing District  (703,8454)  (763,8467)  (814,8450)  (871,8457)  (823,8508)  (894,8505)  (879,8554)  | overflowToLeft=false
Tyr's Hand  (5725,4519)  (5675,4561)  (5675,4511)  (5774,4569)  (5775,4492)  | overflowToLeft=false
Northlands  (2022,5926)  (1972,5975)  (1972,5925)  (2071,5976)  (2022,5876)  (2072,5876)  (2072,5926)  (1970,5875)  (2021,6025)  (1971,6025)  (1922,5955)  (2121,5976)  (2121,6026)  (2071,6026)  (2122,5882)  (1920,5905)  (1920,5855)  (1970,5825)  (1902,5805)  (2171,5932)  (1870,5878)  | overflowToLeft=false
Crimson Forest  (238,9018)  (303,9022)  (237,9075)  (307,9082)  (177,9001)  (182,9073)  (357,9033)  (370,9103)  | overflowToLeft=false
The Maker's Terrace  (4693,8667)  | overflowToLeft=false
Surwich  (4380,12180)  (4329,12152)  (4342,12099)  (4391,12120)  (4394,12059)  (4458,12065)  | overflowToLeft=false
Twilight Breach  (5240,7502)  (5292,7504)  (5343,7547)  (5344,7492)  (5328,7443)  (5380,7408)  (5398,7461)  (5403,7516)  | overflowToLeft=false
Jangolode Mine  (2126,10705)  | overflowToLeft=false
Searing Gorge Mountains  (2878,8887)  (2970,8964)  (3031,9082)  (3069,9200)  (3117,9287)  (2956,8844)  (3034,8945)  (2826,8796)  (2789,8883)  (2665,8876)  (2536,8885)  (2395,8773)  (2421,8875)  (2305,8875)  (3270,9337)  | overflowToLeft=false
Blackrock Altar of Storms  (3195,9473)  (3145,9502)  (3145,9452)  (3244,9523)  (3195,9423)  (3245,9434)  (3123,9402)  (3194,9552)  (3095,9470)  (3294,9539)  (3244,9573)  | overflowToLeft=false
Victor's Point  (5308,7676)  (5357,7642)  (5408,7605)  (5409,7653)  (5356,7695)  (5334,7746)  (5389,7748)  (5414,7699)  | overflowToLeft=false
Deathknell  (2070,4383)  (2020,4432)  (2020,4382)  (2119,4433)  (2070,4333)  (2120,4333)  (2120,4383)  (2018,4332)  (2065,4482)  (2015,4482)  (2169,4433)  (2129,4283)  (1968,4320)  (2014,4532)  | overflowToLeft=false
Stonesplinter Mountains  (4430,8416)  | overflowToLeft=false
Anglepoint Seagate  (468,8384)  (435,8447)  (499,8474)  (611,8455)  (598,8517)  (794,8551)  | overflowToLeft=false
Vigil Hill  (1162,9001)  (1139,9110)  (1141,9058)  (1083,9051)  (1106,8998)  (1049,8993)  (1066,8938)  (1119,8937)  (1169,8949)  | overflowToLeft=false
Rockpool Village  (4862,11912)  (4820,11967)  (4758,11990)  (4876,11972)  (4810,12022)  (4792,12080)  (4873,12033)  | overflowToLeft=false
Thondroril River  (4171,4145)  | overflowToLeft=false
Sorrow Hill Cemetery  (3828,4811)  (3778,4831)  (3856,4861)  (3878,4788)  (3728,4842)  | overflowToLeft=false
The Dagger Hills  (2067,11480)  | overflowToLeft=false
Solliden Farmstead  (2119,4161)  (2069,4191)  (2069,4141)  (2169,4139)  (2169,4189)  (2019,4147)  | overflowToLeft=false
Mok'Doom  (2132,989)  (2082,1014)  (2082,964)  (2182,979)  (2465,1010)  (2515,990)  | overflowToLeft=false
Parhelion Plaza  (5036,621)  (5101,622)  (5066,676)  | overflowToLeft=false
Wetland Mountains  (3934,7392)  (3884,7441)  (3884,7391)  (3983,7442)  (3934,7342)  (3984,7342)  (3984,7392)  (3882,7341)  (3933,7491)  (3883,7491)  (3834,7441)  (3834,7391)  (4033,7442)  (4033,7492)  (3983,7492)  (3833,7492)  (3989,7292)  (4034,7342)  (4034,7392)  (3795,7341)  (3784,7442)  (3784,7392)  (4083,7442)  (4083,7492)  (4083,7542)  (4084,7319)  (4084,7369)  (3757,7291)  (3745,7342)  (4133,7419)  (4133,7469)  (4133,7519)  (4134,7331)  (3707,7292)  (3695,7391)  (4183,7381)  (4183,7431)  (4183,7525)  (3657,7341)  (3645,7396)  (4233,7406)  (3595,7408)  | overflowToLeft=false
Loch Isles  (4734,8175)  | overflowToLeft=false
Blackchar Path  (3196,9091)  (3146,9052)  (3233,9141)  (3183,9141)  (3196,9041)  (3283,9144)  (3129,9002)  (3233,9191)  (3179,8991)  (3229,8991)  (3298,9194)  (3117,8952)  (3248,9241)  (3167,8941)  (3333,9244)  | overflowToLeft=false
